EXPID,PEAKID,YEAR,SEASON,HOST,ROUTE1,ROUTE2,ROUTE3,ROUTE4,NATION,SUCCESS1,SUCCESS2,SUCCESS3,SUCCESS4,SMTDAYS,TOTDAYS,TERMDATE,TERMREASON,SKI,PARAPENTE,TOTMEMBERS,SMTMEMBERS,MDEATHS,TOTHIRED,SMTHIRED,HDEATHS,O2USED,COMRTE,STDRTE,PRIMRTE,CAMP_HEIGHTS,CAMP_SITES_LIST,NUM_CAMPS,TERMREASON_STRING,YEAR_SEASON_DATE,PKNAME,PKNAME2,LOCATION,HEIGHTM,REGION,OPEN,PSTATUS,NAME,ALTERNATE_NAMES,LAT,LON,ELEVATION_M
EVER19140,EVER,2019,1,1,S Col-SE Ridge,,,,Ireland,1,0,0,0,31,0,,1,0,0,5,4,0,6,6,0,1,1,True,False,['5300'],"[('BC(15/04,5300m),', ''), ('C1(5900m),', ''), ('C2(6400m),', ''), ('C3(7100m),', ''), ('C4(7950m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19141,EVER,2019,1,1,S Col-SE Ridge,,,,Canada,1,0,0,0,34,39,2019-05-21,1,0,0,9,4,0,8,7,0,1,1,True,False,"['5400', '6000', '6400', '7100', '7900']","[('BC(12/04,5400m),', ''), ('C1(21/04,6000m),', ''), ('C2(22/04,6400m),', ''), ('C3(14/05,7100m),', ''), ('C4(15/05,7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19142,EVER,2019,1,1,S Col-SE Ridge,,,,Switzerland,1,0,0,0,29,0,,1,0,0,1,1,0,2,2,0,1,1,True,False,"['5300', '6200', '6400', '7300', '7900']","[('BC(17/04,5300m),', ''), ('C1(21/04,6200m),', ''), ('C2(28/04,6400m),', ''), ('C3(14/05,7300m),', ''), ('C4(15/05,7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19143,EVER,2019,1,1,S Col-SE Ridge,,,,UK,1,0,0,0,47,51,2019-05-25,1,0,0,6,5,0,7,6,0,1,1,True,False,"['5300', '5900', '6400', '7100', '7900']","[('BC(04/04,5300m),', ''), ('C1(12/04,5900m),', ''), ('C2(17/04,6400m),', ''), ('C3(05/05,7100m),', ''), ('C4(20/05,7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19144,EVER,2019,1,1,S Col-SE Ridge,,,,USA,1,0,0,0,0,0,,1,0,0,5,4,0,5,5,0,1,1,True,False,[],"[('', 'BC,'), ('', 'C1,'), ('', 'C2,'), ('', 'C3,'), ('', 'C4,')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19145,EVER,2019,1,1,S Col-SE Ridge,,,,India,1,0,0,0,31,33,2019-05-18,1,0,0,1,1,0,2,2,0,1,1,True,False,"['5280', '6000', '6400', '7400', '7900']","[('BC(15/04,5280m),', ''), ('C1(22/04,6000m),', ''), ('C2(23/04,6400m),', ''), ('C3(07/05,7400m),', ''), ('C4(15/05,7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19146,EVER,2019,1,1,S Col-SE Ridge,,,,USA,1,0,0,0,9,11,2019-05-25,1,0,0,11,4,0,11,5,0,1,1,True,False,"['5350', '6000', '6400', '7200', '7900']","[('BC(14/04,5350m),', ''), ('C1(25/04,6000m),', ''), ('C2(27/04,6400m),', ''), ('C3(13/05,7200m),', ''), ('C4(14/05,7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19147,EVER,2019,1,1,S Col-SE Ridge,,,,India,1,0,0,0,32,41,2019-05-25,1,0,0,12,11,0,13,10,0,1,1,True,False,[],"[('BC(14/04),', ''), ('C1(28/04),', ''), ('C2(29/04),', ''), ('C3(14/05),', ''), ('C4(15/05),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19148,EVER,2019,1,1,S Col-SE Ridge,,,,Argentina,1,0,0,0,37,39,2019-05-24,1,0,0,3,1,0,3,1,0,1,1,True,False,"['5300', '6000', '6500', '7300', '7900']","[('BC(15/04,5300m),', ''), ('C1(28/04,6000m),', ''), ('C2(01/05,6500m),', ''), ('C3(19/05,7300m),', ''), ('C4(21/05,7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19149,EVER,2019,1,1,S Col-SE Ridge,,,,India,0,0,0,0,0,0,,7,0,0,4,0,0,4,0,0,0,1,True,False,['7200'],"[('', 'BC,'), ('', 'C1,'), ('', 'C2,'), ('C3(26/05,7200m),', '')]",4,"Illness, AMS, exhaustion, or frostbite",2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
