PEAKID,PKNAME,YEAR,HOST,LAT,LON,HEIGHTM,COMRTE,ROUTE_SUCCESS,ROUTE_HIGHPOINT,ROUTE
ANN4,Annapurna IV,1976,1,28.53666666666667,84.085,7525,Not Known,1,,S Face
ANN4,Annapurna IV,1997,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1997,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1998,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
ANN4,Annapurna IV,1998,1,28.53666666666667,84.085,7525,Not Known,0,,SW Face-W Col-NW Ridge
ANN4,Annapurna IV,2001,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,2001,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,2001,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
ANN4,Annapurna IV,2002,1,28.53666666666667,84.085,7525,Not Known,0,,N Face-NW Ridge
ANN4,Annapurna IV,2002,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge via the Dome
ANN4,Annapurna IV,2002,1,28.53666666666667,84.085,7525,Not Known,0,,N Ridge of Dome from NW Ridge of Anna IV
ANN4,Annapurna IV,2003,1,28.53666666666667,84.085,7525,Not Known,0,,W Pillar/Ridge
ANN4,Annapurna IV,2003,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,2003,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,2003,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,2003,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,2004,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2005,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2005,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2006,1,28.53666666666667,84.085,7525,False,1,,NW Ridge
ANN4,Annapurna IV,2007,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2007,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2008,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2008,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2008,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2009,1,28.53666666666667,84.085,7525,False,1,,NW Ridge
ANN4,Annapurna IV,2009,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2010,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2010,1,28.53666666666667,84.085,7525,False,1,,NW Ridge
ANN4,Annapurna IV,2011,1,28.53666666666667,84.085,7525,False,1,,NW Ridge
ANN4,Annapurna IV,2011,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2012,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2012,1,28.53666666666667,84.085,7525,False,0,,N Ridge-NW Ridge
ANN4,Annapurna IV,2012,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2012,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2012,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2013,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2015,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2015,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2015,1,28.53666666666667,84.085,7525,False,1,,NW Ridge
ANN4,Annapurna IV,2015,1,28.53666666666667,84.085,7525,False,0,,SW Pillar
ANN4,Annapurna IV,2016,1,28.53666666666667,84.085,7525,False,0,,NW Ridge?
ANN4,Annapurna IV,2017,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2018,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2019,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,2022,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
MAKA,Makalu,1988,1,27.890887,87.08841,8485,Not Known,1,,W Pillar up
MAKA,Makalu,1988,1,27.890887,87.08841,8485,Not Known,1,,NW Ridge down
MAKA,Makalu,1988,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1988,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1988,1,27.890887,87.08841,8485,Not Known,0,,W Face
MAKA,Makalu,1983,1,27.890887,87.08841,8485,False,0,,Makalu La-NW Ridge
MAKA,Makalu,1983,1,27.890887,87.08841,8485,Not Known,0,,W Pillar
MAKA,Makalu,1985,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge-N Face
MAKA,Makalu,1985,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1985,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1985,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1986,1,27.890887,87.08841,8485,Not Known,0,,SE Ridge
MAKA,Makalu,1987,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1987,1,27.890887,87.08841,8485,Not Known,0,,S Face
MAKA,Makalu,1987,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1989,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1989,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1989,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1989,1,27.890887,87.08841,8485,Not Known,1,,S Face up
MAKA,Makalu,1989,1,27.890887,87.08841,8485,Not Known,1,,NW Ridge down
MAKA,Makalu,1989,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1989,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1991,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1991,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-Kukuzcka Rib
MAKA,Makalu,1991,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-Kukuczka Rib
MAKA,Makalu,1991,1,27.890887,87.08841,8485,Not Known,1,,W Pillar
MAKA,Makalu,1991,1,27.890887,87.08841,8485,Not Known,0,(to 7800m),W Face
MAKA,Makalu,1990,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1990,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1990,1,27.890887,87.08841,8485,Not Known,1,,W Pillar
MAKA,Makalu,1990,1,27.890887,87.08841,8485,Not Known,0,,SE Buttress
MAKA,Makalu,1990,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1990,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1990,1,27.890887,87.08841,8485,False,0,,Makalu La-NW Ridge
MAKA,Makalu,1990,1,27.890887,87.08841,8485,Not Known,0,,SE Ridge
MAKA,Makalu,1990,1,27.890887,87.08841,8485,Not Known,1,,Kukuczka Rib direct to NW Ridge
MAKA,Makalu,1990,1,27.890887,87.08841,8485,Not Known,0,(to 7400m),Makalu La-NW Ridge
MAKA,Makalu,1991,1,27.890887,87.08841,8485,Not Known,0,,W Face
MAKA,Makalu,1991,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1991,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1989,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1989,1,27.890887,87.08841,8485,Not Known,0,,W Pillar
MAKA,Makalu,1988,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1988,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1988,1,27.890887,87.08841,8485,Not Known,0,,SE Ridge
MAKA,Makalu,1988,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1988,1,27.890887,87.08841,8485,Not Known,0,,Left side of W Face-N Face
MAKA,Makalu,1987,1,27.890887,87.08841,8485,Not Known,0,(to 6500m),NW Ridge
MAKA,Makalu,1987,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1987,1,27.890887,87.08841,8485,Not Known,0,,SE Ridge
MAKA,Makalu,1986,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1986,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1986,1,27.890887,87.08841,8485,False,0,,Makalu La-NW Ridge-N Face
